FREQvHARMONIC	1	3	5	7	9	11	13	15	17	19
20.215734166876715	71.53375751656732	81.02626047815426	92.12093796049183	57.223386525208625	39.71581318022256	13.633919330535663	12.363540038415897	59.241885953069136	60.87713985625737	29.819229111330763
23.26611247507051	75.70925516312185	97.2423840806454	86.5595108903297	55.885775867472255	24.75821608089643	11.588089847549949	66.634316241445	65.24278354776503	31.32762498649248	38.34520220688781
26.77676631648462	84.12501439531138	119.52262510348359	80.49577187419744	49.89397996897564	11.6634594682689	61.056370259177555	76.64021723785407	35.191976727403684	52.483268490835904	70.54755816993023
30.817147262392073	99.3555391195102	145.0885952950854	79.22414241586387	26.481604086723358	33.62885618025515	102.45991267660058	40.717578363436495	65.41362298745806	78.20155275467677	47.45399208606831
35.46718652159638	120.61154872936896	153.18385743649617	75.35054396581585	15.63471653269674	128.05300364488053	49.74588504403389	74.17336093621003	86.7625770499048	46.96572974298051	29.429418070807923
40.81887622650982	147.1798417979546	139.4644712437453	51.92907158495801	64.99989654016018	78.41256154619998	73.10734335960477	100.65790547206903	50.23625971316714	30.836672707773022	22.634936231642815
46.97808932153589	179.35533472308762	133.1897316242135	21.946095250769233	170.477982617249	63.83157379194188	122.28959788690837	58.57780313934176	33.8851712660586	24.093051992404927	17.8756650514223
54.06667405676657	214.08421946789406	130.61023880528734	41.96552453164935	86.67989710102071	136.8562031547721	77.2447382897889	39.35048999878929	26.630450618702152	19.110452514908385	14.933332685532816
62.22486452254599	251.93469537976895	118.12917178654791	206.10352842188982	93.67031445757952	123.8606017173411	49.23980404782949	30.893407472641	21.190803892392708	16.280440634004513	13.2960923526389
71.61405491271609	302.5709961519464	64.52425367240552	169.08035024849943	188.5073233148476	70.61804953366934	38.19014698534662	24.540202694459133	18.23947800691431	14.128784521421027	9.300296505888712
82.41999240003607	370.86121769810313	35.72505412503538	107.17470939260885	139.54177779617947	51.735650934549064	30.23209431981015	21.099139081213078	15.523180877590928	9.336151246668257	6.1539402301716075
94.85645178870888	445.03429313546417	138.85506051629315	221.44300439388675	83.60576250631692	40.769999562801026	25.457832629991653	18.01902610208632	9.956757126085144	6.744211950951194	7.57669529206232
109.16946463998596	439.61658498330746	361.0067470992504	210.59442645265332	48.091184017517826	42.78110613275542	46.27087539687291	33.53134257399228	17.4440975778197	7.223838982744226	3.1836782822892626
125.6421865360116	413.07068023528376	208.30311039851898	138.9096912573609	49.96861301362276	29.473863265882237	15.292873414974801	8.865457091381547	11.144864405456033	11.639263404172658	9.342827521889868
144.60049877141134	398.725912882643	211.1664751486146	97.64880278656327	41.22842544555089	22.785566054617366	10.509894564815799	12.742668818091706	13.086377775487088	10.297315805413104	9.672640255962735
166.4194552913795	387.8672788724552	432.093269030809	75.04988557774102	37.60764581505355	16.713696640403107	15.905146604762784	15.048380096049518	9.516547816168716	8.9802280042929	11.380715358281252
191.53070241660228	337.06985810100474	335.7159043514333	61.67318219029347	26.84972355011858	13.754658154252452	18.002491687350407	13.421804038828702	12.999290565977311	13.835248915684806	14.612830973411416
220.43101814008457	165.85565691964672	198.70217970913984	53.92225024756502	17.085963397441915	20.788671992013665	16.029072256415443	14.934717256759795	16.028107732118094	17.21838501081834	20.539936919035515
253.69213992953232	116.5047102758786	149.49061314126396	44.1762191552992	19.278808039009693	20.68559794390828	16.97182924204157	18.410772413716	20.0896306603418	25.35940698838946	32.99600847917197
291.97207545956445	557.5331231033341	117.92977228165303	27.664737344052845	27.82173718632005	19.632245263101854	20.917572358960214	23.052485881439495	30.45272549970204	38.420095896694136	31.914577266400165
336.0281200349557	773.4403006459805	199.0124786159753	69.50703200036423	23.529415401208777	15.265486817897857	22.928733518857072	32.385360834990635	36.75195632439031	36.14328330902053	34.78995153352575
386.731838229729	571.8626455396688	86.63779055522954	35.34846025160931	25.768838354319477	28.744551409784894	37.279450809747665	50.89861050796253	36.597103179265325	32.52961223350609	44.192347404358294
445.08630612517516	699.0279053515405	81.17134657019659	28.700720447801544	34.40153580959407	39.7270323635917	54.18733035992237	45.862658510254995	36.788698503635196	54.7615397998229	72.53132013892734
512.2459552514922	778.078767614508	211.1182985928033	85.01696529769886	39.277645747364765	31.55819198529779	43.40076948010522	60.98499243820552	73.82844909389503	75.96426792808982	66.71906704854565
589.5394108074804	738.7096552637137	131.20756546304517	34.05431588702602	42.834205112254054	60.50689970641706	66.2015225807992	76.12254530683892	88.35094774867639	80.06352089403956	47.49363531514464
