FREQvHARMONIC	1	3	5	7	9	11	13	15	17	19	21	23	25	27	29	31	33	35	37	39
20.215734166876715	71.53375751656732	81.02626047815426	92.12093796049183	57.223386525208625	39.71581318022256	13.633919330535663	12.363540038415897	59.241885953069136	60.87713985625737	29.819229111330763	28.10913792854422	44.34767567520036	52.13874850553137	44.22235854098863	30.923002758978342	22.225417353160367	16.909727532464082	14.1373743288195	12.325655128496393	10.694724496137965
20.355566466777884	71.1472335853039	81.40732011412791	92.12685888717826	57.2046129249536	39.762583556690004	12.639644117651875	13.096979231130927	62.09603086925092	60.34201875995964	28.74095616829056	28.45790749614338	45.727617818254956	53.5361495410606	43.28806900419782	29.31448032934422	21.524614321665133	16.98348762761189	14.1373720777219	11.944782720665719	10.400138106576946
20.49636598715862	71.2466661069476	81.7327788155704	91.86096425518551	57.37650406111942	40.1048398600446	12.00148643776204	13.910610579954186	64.6172802382045	57.95879282960979	29.087690406719513	29.45456468335748	46.7019667766141	53.00755743534662	42.50110389343641	29.099543131743513	20.977549067505773	16.32762762564302	13.73357738726551	11.912545905467613	10.4276451354333
20.638139418286165	71.46090841797242	82.21596544207277	91.5734026612246	57.32758307063466	39.75589660151687	11.859393938809964	15.002638770987858	66.72752022668314	55.397815716203226	28.756302419521248	31.021026109602968	49.41332153011821	52.78493530915289	40.8250617582439	28.066461160838287	20.81629646289033	16.56094280363139	13.888276591970559	11.667861837561261	10.122592817521593
20.78089349670437	71.70842647821371	82.97276143177072	91.30799356688685	57.08490804808768	39.09095617008749	11.45457469374824	16.684057202135154	69.51939326012085	52.25837460059742	28.05469073714685	32.097148582995885	50.71931072543267	53.61678967489369	40.34984706039311	26.99181859650866	19.919912846259283	16.033724322293512	13.621982777995362	11.774899818760344	10.222775865975159
20.92463500555378	71.97467164380818	83.71638187572638	91.00313027875396	56.75263671590954	38.37508838698393	11.1331879762792	18.155621460410018	72.87423691868105	50.5741129164545	27.480715225502937	32.98841502010339	51.41303835931776	52.84185313294553	39.07485948102941	26.69904640033558	19.88199492823013	15.960615727416217	13.40464671293814	11.431591787030234	9.92825817178193
21.069370774893944	72.30148122184889	84.50240654024698	90.61016383498725	56.32145052747376	37.546337027434504	10.775171430109769	19.671554388422894	74.46376294675575	48.54257807378881	27.876092539112964	35.0364992009079	53.02513376581934	52.01980398986234	37.27452160399149	25.607141280663217	19.240909493974915	15.565745449633699	13.202264079029	11.392068976160315	9.906469774330974
21.21510768202795	72.67217989758389	85.50052181541487	90.4839397617248	56.04596559985881	36.68830936072883	10.369627619439775	21.449208974554896	75.66213232483767	46.293615201133576	27.837820503047926	36.581398538443764	54.34927873685333	52.263705928160995	36.79307105566955	25.40569721091052	19.178458159200602	15.541182571648967	13.06952464801313	11.195835734124675	9.687241420571803
21.361852651829224	73.061567334496	86.69662167231829	90.64952549977436	56.06090276191388	35.868740462502615	9.935551324038315	23.765500139664358	76.55975121728707	43.75109829601566	27.685670791041886	38.172179519760505	54.92142020903366	51.13323322229324	35.41290976884626	24.64912879468077	18.754609783350748	15.293068266125314	13.006084292225077	11.209034595750543	9.723813933660573
21.509612657070562	73.49654959269684	88.08661902553413	91.24927321516743	56.56866084072502	35.45838401133813	9.683825643820786	26.484773327107852	78.36897588079597	41.96052621689196	27.887586107409454	40.268676205739396	56.0154341322117	50.31486568575635	34.178484811371305	23.910841115370125	18.311172599480145	14.995818170520476	12.758926356558108	10.989220537080572	9.527138220552043
21.658394718755446	73.66475150015201	88.90647249470156	91.14041311160135	56.68592800831225	34.835036973519586	9.610061649971259	29.100330557172665	79.25228537845817	40.64183481129215	28.28762008898167	42.2692799509603	56.95704053814356	49.69194199749299	33.44647472431387	23.529422076753377	18.11163758118206	14.897536989187792	12.676635637354684	10.912058265982331	9.454741136211132
21.80820590645166	73.83606333743924	89.75250158260788	90.78423383982216	56.623743261391866	33.924925821369904	9.585115628921596	32.23889848394089	79.24141274866646	39.03619768020018	28.619078235208274	44.05796620651896	57.10896497656536	48.18361129699409	32.16243936863337	22.764712486933927	17.62701344430416	14.594772292795255	12.467115197627438	10.791170791210584	9.395679109323563
21.95905333862724	74.04652465169737	90.64597472396024	90.40255591372093	56.51136840020784	32.96695345505784	9.677846959892783	35.45068787874274	78.63084561100372	37.544602067200614	28.973591330933342	45.862065052712204	57.74224882005488	47.51799256965546	31.52973230989726	22.49987537165032	17.52304012361469	14.542934302049867	12.381933811059131	10.647359874496908	9.221070415553083
22.11094418298865	74.13445837093911	91.25499176474239	89.92380817221935	56.43073982552197	32.092434906252386	9.649637052258718	38.32842833715409	78.07816720576247	36.39413525805708	29.745272231604645	48.07812374162496	58.2489904944585	46.25903799180967	30.54498693107452	21.921600887760142	17.15008873554837	14.280743547470042	12.223086672137155	10.583607426168106	9.181013586121372
22.263885656821422	74.30632917242205	92.0537917655777	89.38911672057701	56.26676889344301	31.059478979984092	9.715788286180894	42.30639190108173	77.9464300083355	35.19684767319964	30.455834666770144	49.790908819925995	57.98966911329371	44.668169829502695	29.548348134059	21.560414040371185	17.001494863628903	14.197534103079308	12.094231179263488	10.379745324768566	8.983619285684767
22.417885027333075	74.61252171678416	93.05849393788662	88.89186818392781	56.0988918875959	30.131223823296022	9.928912864792004	46.27768799596703	76.69361021771947	34.29240544462873	31.229350754486493	51.390706054766795	58.40075798660035	43.87927374331758	28.939230572909008	21.06988454719245	16.68875614750212	13.960433309504852	11.99384086150961	10.3566160995279	8.972199844607227
22.572949611998432	74.71025365000526	93.68105653452092	88.27121126989248	55.94225901237256	29.268243266541273	9.95849535921292	49.80667203788045	74.80347614404388	33.45011076990994	32.22430761015063	53.57294400845871	58.16732481424359	42.32604609098327	27.99923845099844	20.591292060590273	16.540932037532773	13.880178248653582	11.81966270600503	10.128025520087787	8.793580763270779
22.7290867789073	74.88853813104193	94.4248502789361	87.7078566518716	55.95208920702547	28.284159084715682	10.207697739249204	53.3980632578606	72.7459086879719	33.02959780159474	33.496553195487685	55.045830611730295	57.49948048690946	40.96098697079601	27.483475818768547	20.294037341696928	16.2476439029807	13.64223774973692	11.756497132058543	10.081687190022517	8.738656478019138
22.886303947114595	75.25451069120626	95.39145953401929	87.20259074046561	56.403203583364295	27.341581321430233	10.62420031301288	57.06351208127637	71.39744946314669	32.451682735973634	34.7166441416227	56.21775349264501	57.5325932895885	39.998095343315754	26.741264441429045	19.859673041755947	16.170024747815393	13.6151954212295	11.559706909185469	9.904433338622288	8.695874153341812
23.044608586992865	75.32683276227026	96.06489980498885	86.73915127089909	56.07112386554548	26.201280020263198	10.895306730668432	61.276334018865086	68.85373990887526	31.762318924650355	35.94134275340029	58.026762875787306	56.73766483941762	38.44539180462673	26.051391577958814	19.606115352821565	15.877499907801113	13.338710841470759	11.460095980679322	9.841581119270653	8.543775849902085
23.20400822058724	75.66166004249558	96.96050844816526	86.56894067033798	55.930092192864805	25.077284588457573	11.429187063423104	65.548567492231	66.07837088693329	31.348167706900487	37.951914591762026	59.32913014813158	55.69068776727997	37.483184199300226	25.428669419255595	19.15258049475625	15.722052488780374	13.254645528168256	11.254877518492242	9.706145406534585	8.496260221595646
23.364510421972867	75.95896361214106	97.79817410275373	86.60044975882249	55.85136073129034	24.090403868867092	12.024209088900115	68.99112700987217	63.36887094327507	31.41266032664558	39.52281959954896	60.11739198098107	55.28360161973187	36.35705487043231	24.78647020328972	18.992126332094436	15.53770711000258	13.026606470502651	11.192232106019475	9.629085791181542	8.338263834820559
23.52612281761479	76.08705027372088	98.66455967122576	85.96407521627447	55.54232124494752	23.083514514381893	12.58105720724149	72.3753465436932	60.78161314713042	31.031347230479756	41.25118268569242	61.5569604121225	54.00892966404138	35.05155980722059	24.369585767285404	18.592583207498315	15.304998433488485	12.934936464260405	11.004237380224149	9.54241926069013	8.2790898210075
23.688853086730354	76.5235424695785	99.60904878766569	85.78070537111785	55.379588180268314	22.308747748427074	13.489000432625218	75.5895304549364	58.31062820716568	30.979966089653185	43.64105493688314	62.45978055960645	52.67277934772206	34.35893251138927	23.782806195611112	18.438734489929846	15.196084139635584	12.73931718235743	10.973204962960079	9.389673193075335	8.244527247536466
23.852708961654045	76.70903599932011	100.64538612126417	85.0522466953582	55.157998618587015	21.238653570495426	14.146516653452668	79.18036444215129	55.30336035789079	30.993071062751167	45.64043210438357	62.6954940995232	51.70221394672738	33.133792324390114	23.35590893270381	18.072490222432275	14.926281803455458	12.630132954969936	10.753381351736193	9.291275914150201	8.108307217262713
24.01769822820496	77.07761142301935	101.78947680100194	84.72360390094155	55.00741072214589	20.286954022596575	15.117852685581154	82.09944627867415	52.56915245028285	31.429728852875357	47.74480618117377	63.56084457855392	50.36623927640148	32.38462317220756	22.86136624182135	17.818655958487703	14.820927698433918	12.45928795291831	10.699106960134218	9.153239873302894	8.089811595848118
24.183828726056724	77.40095397140115	103.09165745852701	84.25596995053718	55.06181230518058	19.246120150806536	16.314294783163394	84.59062960830082	50.22761540394596	31.62843516686117	49.89240442380006	63.82340549293336	48.958658739542635	31.441317808764516	22.32938674359474	17.617057773731265	14.578745578735704	12.374089893948584	10.512134677840443	9.101966698745837	7.960250235094697
24.351108349110007	77.68652206401968	104.12568387644698	83.74568505494766	55.03556171964136	18.290099011133364	17.6101586138919	86.41045151910812	48.42100385281989	31.855726511108358	52.05492557453557	63.75717123277977	47.89367484959394	30.514117834340123	22.031184289656274	17.326291345497722	14.472885451107238	12.207626513092624	10.428386332402374	9.008696392259333	7.906653795122005
